"Section","Question Number","Question","Response Field","Notes","Instructions"
"Project Cost Breakup","21","Distance Between Blocks (if multiple)","[Enter Meters]","","Enter in meters."
"Project Cost Breakup","22","Highest Block Sum Insured (if applicable)","[Enter ₹ Amount]","","Enter amount."
"Project Cost Breakup","23","Exposure to STFI (Storm, Tempest, Flood, Inundation)","[Yes/No]","","Enter 'Yes' or 'No'."
"Project Cost Breakup","24","Do you require Flexa Discount?","[Yes/No, % if Yes]","","Enter 'No' or 'Yes: Desired %'."
"Project Cost Breakup","25","Any other project-specific risk or claim detail to share?","[Enter Details]","Optional","Enter if applicable."
"Add-On Coverages Required","","Add-On: Earthquake (Fire & Shock)","[Required / Not Required, Sub Limit]","","Enter 'Required, Sub Limit' or 'Not Required'."
"Add-On Coverages Required","","Add-On: Terrorism","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Third Party Liability (AOA up to ₹10 Cr, India) – With Cross Liability","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Owner’s Surrounding Property","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Debris Removal (per occurrence)","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Additional Custom Duty","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Contractor's Plant & Machinery (up to 5% or ₹25 Lakhs)","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Offsite Storage / Fabrication Cover","[Required / Not Required, Months]","","Enter 'Required, Months' or 'Not Required'."
"Add-On Coverages Required","","Add-On: Extended Maintenance Cover","[Required / Not Required, Months]","","Format as above."
"Add-On Coverages Required","","Add-On: Maintenance Visit Cover","[Required / Not Required, Months]","","Format as above."
"Add-On Coverages Required","","Add-On: Design Defect Cover (e.g., DE2)","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Express Freight / Overtime / Holiday Wages","[Required / Not Required, Sub Limit]","Normal up to ₹100 Cr","Format as above."
"Add-On Coverages Required","","Add-On: Escalation Clause","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Air Freight","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Breakage of Glass","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Free Automatic Reinstatement (Up to 10% of SI)","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Waiver of Subrogation","[Required / Not Required, Sub Limit]","","Format as above."
"Add-On Coverages Required","","Add-On: Cover for Valuable Documents","[Required / Not Required, Sub Limit]","","Format as above."
