Section,Question Number,Question,Response Field,Notes,Instructions
Credit Management System,Q19,On what basis are credit limits established for buyers?,[Enter Basis],"Examples: Credit agency reports, trade references, bank reports, financial statements","Enter, e.g., 'Credit agency reports, financial statements'."
Credit Management System,Q20,Which bank or agency do you use for credit reports?,[Enter Bank/Agency],,"Enter, e.g., 'Dun & Bradstreet'."
Credit Management System,Q21,"If payment is not received, after how many days do you: Stop further supplies?",[Enter Days],,"Enter, e.g., '30'."
Credit Management System,Q21,"If payment is not received, after how many days do you: Initiate collection action?",[Enter Days],,Enter.
Credit Management System,Q21,"If payment is not received, after how many days do you: Initiate legal action?",[Enter Days],,Enter.
Credit Management System,Q22,Describe your credit management department: Date established,[Enter Date],,"Enter, e.g., '01/01/2015'."
Credit Management System,Q22,Describe your credit management department: Number of staff,[Enter Number],,"Enter, e.g., '5'."
Credit Management System,Q22,Describe your credit management department: Authority levels for approving credit limits or changes,[Enter Details],,"Enter, e.g., 'Manager up to 1000000, Director above'."
Credit Management System,Q22,"Describe your credit management department: Is there anyone who can overrule credit department decisions? If yes, who?",[Enter Details],,"Enter, e.g., 'Yes, CEO' or 'No'."
Credit Management System,Q23,How do you assess creditworthiness of new customers?,[Enter Process],,"Describe, e.g., 'Review financial statements, check references'."
Credit Management System,Q24,"Are regular visits made to customers for credit monitoring? If yes, who makes these visits and how often?",[Enter Details],,"Enter, e.g., 'Yes, Sales team, Quarterly' or 'No'."
Credit Management System,Q25,How often are credit limits reviewed?,[Enter Frequency],,"Enter, e.g., 'Annually'."
Credit Management System,Q26,"Are terms of payment mentioned on all invoices? If not, how are they captured?",[Enter Details],,"Enter, e.g., 'Yes' or 'No, In contract'."
Debt Collection Procedures,Q27,After how many days overdue do you stop deliveries?,[Enter Days],,"Enter, e.g., '45'."
Debt Collection Procedures,Q28,Reminder process for overdue payments: 1st reminder,[Enter Days],Table,"Enter, e.g., '15 days overdue'."
Debt Collection Procedures,Q28,Reminder process for overdue payments: 2nd reminder,[Enter Days],Table,Enter.
Debt Collection Procedures,Q28,Reminder process for overdue payments: 3rd reminder,[Enter Days],Table,Enter.
Debt Collection Procedures,Q28,Reminder process for overdue payments: Further reminders,[Enter Details],Table,"Enter, e.g., 'Weekly after 3rd'."
Debt Collection Procedures,Q29,When are collection agents or legal actions engaged?,[Enter Details],,"Enter, e.g., 'After 60 days overdue'."
Additional Business Information,Q30,Do your sales terms include retention of title?,[Yes/No],Ownership of goods remains with the seller until payment is made,Enter 'Yes' or 'No'.
Additional Business Information,Q31,Do you offer customized products?,[Yes/No],,Enter 'Yes' or 'No'.
Additional Business Information,Q32,Do you hold securities such as bank guarantees or bills of exchange?,[Yes/No],,Enter 'Yes' or 'No'.
Additional Business Information,Q33,Do you use consignment stock arrangements?,[Yes/No],,Enter 'Yes' or 'No'.
Disclosure,,Any Additional Information,[Enter Details],Disclose any details if want to share,Enter Detailed explanation about the business or anything else
